platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2022-07,25,27.5,25-30,8,2,0.25,0.25875,-0.00874999999999998,0.07147768885802763,0.5907301208974108
kalshi,2022-07,30,32.5,30-35,1,0,0.0,0.31,-0.31,0.0,0.7934567085261071
kalshi,2022-07,35,37.5,35-40,3,1,0.3333333333333333,0.36666666666666664,-0.033333333333333326,0.0614903152761605,0.7923450448735121
kalshi,2022-07,40,42.5,40-45,4,1,0.25,0.415,-0.16499999999999998,0.045586062644636216,0.6993639475573634
kalshi,2022-07,45,47.5,45-50,4,2,0.5,0.4825,0.017500000000000016,0.15003570882017148,0.8499642911798285
kalshi,2022-07,50,52.5,50-55,3,2,0.6666666666666666,0.5333333333333333,0.1333333333333333,0.2076549551264879,0.9385096847238394
kalshi,2022-07,55,57.5,55-60,4,2,0.5,0.58,-0.07999999999999996,0.15003570882017148,0.8499642911798285
kalshi,2022-07,60,62.5,60-65,2,1,0.5,0.615,-0.11499999999999999,0.09452865480086614,0.9054713451991339
kalshi,2022-07,65,67.5,65-70,4,2,0.5,0.6775,-0.1775,0.15003570882017148,0.8499642911798285
kalshi,2022-07,70,72.5,70-75,5,5,1.0,0.718,0.28200000000000003,0.5655085052479191,1.0
